Любимый исполнитель;Число слушателей за месяц;Жанр любимого исполнителя;Самый популярный трек любимого исполнителя;Язык любимого исполнителя
Lana Del Rey;1 450 179;Инди-рок;Blue Jeans;Английский
Kanye West;1 666 021;Рэп;Why I love you;Английский
Mother Mother;390 608;Рок;Hay loft;Английский
Billie Eilish;1 575 363;Поп;Bad guy;Английский
Drake;1 121 688;Рэп;God’s plan;Английский
Obladaet;914 144;Рэп;Hella Players;Русский
Тима Белоруских;2 141 949;Хип-хоп;Незабудка;Русский
Morgan Wallen;12 360;Кантри-поп;Last night;Английский
Mayot;1 701 487;Рэп;Море;Русский
Тимати;1 899 703;Рэп;Понты;Русский
Central Cee;158 355;Дрилл;Obsessed with you;Английский
Rihanna;2 221 170;Rnb;Diamonds;Английский
Три дня дождя;2 033 497;Рок;Отпускай;Русский
Электрофорез;473 686;Синти-поп;Фейерверк;Русский
Егор Крид;3 292 678;Рэп;Здравствуйте;Русский
Lida;705 325;Поп-рейв;Стикер;Русский
OG Buda;1 784 293;Хип-хоп;Вина;Русский
fem.love;416 496;Эмо-панк;Фотографирую закат;Русский
IAM;8 214;Хип-хоп;Marseile la nuit;Французский
Lady Gaga;1 891 398;Поп;Bloody Mary;Английский
BTS;528 839;K-pop;Dynamite;Корейский
Stray Kids;320 659;K-pop;DOMINO;Корейский
Pyatno;77 346;Hyperpop;mp3;Русский
KVESTAR;42 699;Hyperpop;Придурок;Русский
Mamamoo;118 531;K-pop;HIP;Корейский
Oxxxymiron;1 788 947;Хип-хоп;Fata Morgana;Русский
Дайте танк(!);436 261;Альтернатива;Утро;Русский
Blackpink;2 479 251;K-pop;Shut down;Корейский
Марьяна Романова;4 460;Поп;Русалка;Русский
